Title,Category
    년 가장 기억에 남는 인터넷 이슈는 ,KIA
    타이거즈 갤러리 이용 안내,KIA
유니폼  는 빅토리의 의미도 담고있어,KIA
다른팀은 아무리봐도 이런 극성팬이없는데,KIA
유니폼 만들어봄,KIA
셀캡 좀 없애라   ,KIA
박민우가 은근 저평가 심하던데,KIA
그 유격수 지지자들 수준이 탄탄하긴해,KIA
누구보다도 든든한 찬호수호대,KIA
클스마스 이브에도 여기서 짭찬까는 병신년들     ,KIA
조던맘   년들도 좆같은게,KIA
누구보다 상남자인 찬호팬들,KIA
김혜성 통산성적인데 생각보다 별로네   ,KIA
   도 군면제 있냐 ,KIA
도태남들이나 짭찬 빨아주는걸보면,KIA
난 박찬호가 여기 남을거라 생각하는 애들이 희한함,KIA
전싸개애들은 남친도 없나봄,KIA
붕개내년도잘하면  년  억은,KIA
난 윤도현 벌써 주전먹었다고 생각하는애들 희한함,KIA
박찬호가 국대 못가는이유는 하나지,KIA
짭까들특  잘한건 칭찬안하고 못한건 이악물고 내려치기함,KIA
  이라 그런가 ,KIA
크리스마스 당일에도 갸갤에서 분탕칠 패배자 목록,KIA
윤도현 내년에 시즌 엔트리 들어오냐 ,KIA
크보원탑 유격수,KIA
팩트는 지금 크보 원탑 유격수는 짭찬이라는거임,KIA
박찬호는 전라도의 자랑 도영 도현과 엮일생각말고,KIA
 일  삼찬호 연호,KIA
그냥 전싸개가 꺼지면안됨 ,KIA
그렇게 수비잘하는 좋은 선수인데 왜 국대를 못가지 ,KIA
리코 나가 경상도 나가 박찬호 나가,KIA
기습시위하는 분들 큰때때크루 보고가,KIA
리코를 어케쳐내 싸개야,KIA
망성한 외야에서 홈송구 지리는데 누구랑 다름,KIA
김혜성 생각보다 인기없나봄 ,KIA
찬호는 골글에 수비상인데 왜 국대 못 뽑힘 ,KIA
유도영맘은 포인트를 잘못잡고있는게,KIA
타팀 코칭스태프 투표   수비지표 합한 수비상이 차노야   ,KIA
차노도 맘먹으면      가능할거같은데,KIA
도영 도현의 정신적 지주,KIA
양현종 연평균   억인데 내년이후   억이상만 줄어도,KIA
윤석민 양현종 술마시며 토크하는 영상보니 왜 이종범이 투수는,KIA
위즈덤 오래걸리네,KIA
근데 아겜때 선발 진짜 누구나갈까,KIA
