titles,category
조상우 미국 가는걸로 별로네 뭐네 하는 인간들은 뭐하는 종자들인가요 ,KIA
최지민의      시즌은 어떨까요   ,KIA
조상우 폼 찾으면 기아가 불펜  위 되나요 ,KIA
무한갸뽕 퇴치 짤,KIA
내일 올라올 다큐    다큐처럼 만들면 진짜 대박인데  ,KIA
조상우 미국 가는건 별로네요,KIA
갸티비  내일 저녁  시  코멘터리  압도 가 찾아갑니다,KIA
내일 갸티비 큰거 오네요,KIA
가장 기대,KIA
김도영       유니폼    사이즈 아직 못 받으신분들,KIA
장현식은 이범호 책 사진 대체 왜 올린거임 ,KIA
 회 조상우  회 전상현 ,KIA
  시즌 리그 포지션별 평균 옵스와 기아포지션별 선수옵스,KIA
야구선수  연예인을 공인으로 보는 건 애매하긴 해요,KIA
     트레이드 이튿날 조상우     검진  특이소견 없다 ,KIA
타이거즈 역대 한국시리즈 승률  구장별 승률,KIA
엄준현 키워볼만 한가요 ,KIA
  시즌 박찬호에 대하여,KIA
개인적으로 은퇴할때 꽃다발 못준거 아쉬운선수  줬으면 하는선수,KIA
그나저나 도영이 유니폼,KIA
곽도규 보니 요즘 선수들 자기 관리 잘하는 듯요,KIA
유망주가 기회를 얻고 잡는 방법,KIA
근데 황대인은 방출  은퇴를 걱정할게 아니라,KIA
투수 유망주들 사설가는 거 유튜브에 많이 올라오던데,KIA
싼 값이라면  서건창 계약하면 좋겠습니다 ,KIA
현재 기아 상황에 대한 생각,KIA
인간은 참 입체적인 존재 같습니다,KIA
올스토브리그 기아 전력누수,KIA
조상우 드라이브라인 한달정도 훈련예정,KIA
내년시즌에도 기아의 좋은 성적이 기대되는게   ,KIA
내야 전포지션 수비  인게 얼마나 힘든건지 다들 잘 모르네요,KIA
개인적으로 김도영은  루 보느니 센터라고 봅니다,KIA
박찬호도  루 못봐서     유격수 간거아닌가요 ,KIA
조상우 인터뷰 잘하네,KIA
윤도현이 박찬호 제끼려면 얼마나 잘쳐야할까요 ,KIA
선동렬 일본커리어는 성공인거죠  ,KIA
꽉 끼는 좌완왕국 새 기대주의 심상치 않은 무브,KIA
무슨  루를 유격 하위호환으로 보는분 많으시네,KIA
이 분은 파란색인가  빨간색인가 ,KIA
임기영 작년에   였으면   억 가능했나요 ,KIA
서건창 에이전트는 진짜 열심히 일 하는 것 같음,KIA
조상우   쉬어갈 곳 없던 타선이 동료로        함께 ,KIA
 루수로 미국가는건 그냥 개손해임,KIA
다소 빠르게 폭풍 성장 중인 얼라,KIA
의리 복귀경기 목표,KIA
펑,KIA
내년 지극히 주관적인 순위 예상,KIA
뭔가 익숙한  맛이 나는 조상우 대표 명경기   사용설명서 ,KIA
진짜 웬만하면 타자 지명해야 함,KIA
위즈덤 이번주안에 나오긴 할까 ,KIA
이 분이 가장 잘 한 일은 ,KIA
기아가 올해 페넌트  위 한 이유,KIA
내년에도 주말잠실 기아경기 많나요 ,KIA
기아가 진짜 강팀이라고 느껴지는게        번 일단 용병    번 현종이 영철이,KIA
임기영 솔직고백  그래도 사랑하는    에 남았다      ,KIA
갸뽕 맥스로 차는 명 사진  기아투타의 현재와 미래,KIA
김도영 전참시 예고편  티저,KIA
