titles,category
이번 골든글러브  루수 김선빈 가능할까요 ,KIA
기아 외국인 투수에 대한 이야기 ,KIA
대만 측에서 외국 원정팬들 응원석 자리도 배려를 안해주네요,KIA
김선빈선수가 선물한 텀블러    ,KIA
스포티비나우 결제하면 프리미어   전경기볼 수 있는건가요 ,KIA
타팀팬이 바라보는 박찬호 성장이유,KIA
최원준 왜 선발 아님     ,KIA
      목 기아타이거즈 라인업 미리 나왔습니다,KIA
스무고개 진짜 라스트 찐막 갑니다,KIA
야구 틀어주는 술집왔는데 스포티비는   마다 돈내야하는거네요   ,KIA
이별은 항상 아프네요  ,KIA
내야 유망주 성장과 별개로 관리해준 박찬호  김선빈 성적이 궁금하긴 합니다 ,KIA
국제대회 성적이 안좋으면 내년 시즌 프로야구 흥행은 어렵겠죠 ,KIA
  보다 보상선수가대박난 시초,KIA
스무고개 찐막  타이거즈에 있었던 선수입니다,KIA
프리미어   그냥 도규나 안갈렸으면 함,KIA
라우어와 네일 상황이 애매해서 그냥 발표 미루고있는거겠죠 ,KIA
선수가 떠나면 아쉽기야 하지만,KIA
박찬호가 결국 성장한 이유에 대한 생각,KIA
미쳤나봅니다   ,KIA
스무고개 찐막  타이거즈에 있었던 선수입니다,KIA
월드컵 한국우승    자팀 한국시리즈 우승,KIA
김형준 왈 다저스의 투수 운용 철학,KIA
최원영 고교성적,KIA
만약 장현식 김현수  대  트레이드 라면,KIA
응원팀 우승       우승 선택 ,KIA
엘지보상선수픽이 언제발포인가요 ,KIA
스무고개 찐막  기아에 있었던 선수입니다,KIA
스무고개 하실 분 찐막 기아출신,KIA
껌식이의 의미 심장했던 노래    ,KIA
이재현 당신은 아이돌 아니라고요,SAMSUNG
여기서 홈런 스윙을 하네,SAMSUNG
돌진만    ,SAMSUNG
역시 돌진만,SAMSUNG
맛자욱 한번 가야할듯,SAMSUNG
타자들이 풀스윙만 머리에 가득차니     ,SAMSUNG
아 왤케 카드를 아끼냐,SAMSUNG
볼넷이라도 노리던가    몸에라도 맞던가,SAMSUNG
가을야구  할 치는데 대타 안써는 돌진만,SAMSUNG
닭진만 뺘마대기 돌리고 싶네,SAMSUNG
오늘경기 끝났네요   ,SAMSUNG
돌진만 디져라,SAMSUNG
가을야구  할 치는데 대타 안써는 돌진만,SAMSUNG
박진만한텐 그냥 정규시즌    번째 경기인듯,SAMSUNG
돌진만   ,SAMSUNG
단타라도 칠 생각을 해야하는데,SAMSUNG
윤정빈이라도 써야 되는거 아님 ,SAMSUNG
여기서 풀스윙 이라  ,SAMSUNG
박진만은 도대체 뭘 보고 번트를 대는걸까요 ,SAMSUNG
대타없이 이재현 졌다   ,SAMSUNG
내일있는 야구 하는 돌진만,SAMSUNG
이재현 진짜 마지막까지,SAMSUNG
대타없이 이재현 졌다   ,SAMSUNG
재현이 고집하면 법력 나오라고 기도합세다  ,SAMSUNG
쓰벌 저쉑은 항상 들어올림 에라이,SAMSUNG
윤정빈 대타좀 쓰라니께,SAMSUNG
스윙이 다 어퍼  풀이냐,SAMSUNG
박진만은 정말 모험은 안하려고 하네요 ,SAMSUNG
개쫄보 박진만,SAMSUNG
이재현 쳐돌았나     ,SAMSUNG
장현식 수도권 팀 비딩 구라라던 사람들 다 머리박고 줄 서세요,LG
